# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-11
#   under openfield (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9705
# CROP: tomato
# PLANTING_DATE: 11-11
# CONDITION: openfield
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-11,initial,0.6,0.1,3.73,2.24,2.24,2.24,1.0,1.0,12.4,12.4,0.0
full_eto,001,2010,2,2010-11-12,initial,0.6,0.104,3.45,2.07,2.07,2.07,1.0,1.0,12.9,25.3,0.0
full_eto,001,2010,3,2010-11-13,initial,0.6,0.109,2.87,1.72,1.72,1.72,1.0,1.0,10.3,35.6,0.0
full_eto,001,2010,4,2010-11-14,initial,0.6,0.113,3.52,2.11,2.11,2.11,1.0,1.0,13.6,49.2,0.0
full_eto,001,2010,5,2010-11-15,initial,0.6,0.118,2.92,1.75,1.75,1.75,1.0,1.0,10.2,59.4,0.0
full_eto,001,2010,6,2010-11-16,initial,0.6,0.122,3.46,2.07,2.07,2.1,1.0,1.0,13.4,72.8,0.0
full_eto,001,2010,7,2010-11-17,initial,0.6,0.126,3.31,1.98,1.98,1.98,1.0,1.0,14.5,87.3,0.0
full_eto,001,2010,8,2010-11-18,initial,0.6,0.131,3.38,2.03,2.03,2.03,1.0,1.0,15.5,102.8,0.0
full_eto,001,2010,9,2010-11-19,initial,0.6,0.135,3.61,2.16,2.16,2.16,1.0,1.0,16.3,119.1,0.0
full_eto,001,2010,10,2010-11-20,initial,0.6,0.14,3.75,2.25,2.25,2.25,1.0,1.0,16.5,135.6,0.0
full_eto,001,2010,11,2010-11-21,initial,0.6,0.144,3.63,2.18,2.18,2.18,1.0,1.0,17.2,152.8,0.0
full_eto,001,2010,12,2010-11-22,initial,0.6,0.148,3.65,2.19,2.19,2.19,1.0,1.0,17.9,170.7,0.0
full_eto,001,2010,13,2010-11-23,initial,0.6,0.153,3.19,1.91,1.91,1.91,1.0,1.0,18.5,189.2,0.0
full_eto,001,2010,14,2010-11-24,initial,0.6,0.157,2.91,1.75,1.75,1.75,1.0,1.0,16.0,205.2,0.0
full_eto,001,2010,15,2010-11-25,initial,0.6,0.162,3.27,1.96,1.96,1.96,1.0,1.0,18.1,223.3,0.0
full_eto,001,2010,16,2010-11-26,initial,0.6,0.166,3.33,2.0,2.0,2.0,1.0,1.0,18.7,242.0,0.0
full_eto,001,2010,17,2010-11-27,initial,0.6,0.17,3.46,2.08,2.08,2.08,1.0,1.0,19.0,261.0,0.0
full_eto,001,2010,18,2010-11-28,initial,0.6,0.175,3.1,1.86,1.86,1.86,1.0,1.0,19.8,280.8,0.0
full_eto,001,2010,19,2010-11-29,initial,0.6,0.179,3.27,1.96,1.96,1.96,1.0,1.0,21.2,302.0,0.0
full_eto,001,2010,20,2010-11-30,initial,0.6,0.184,2.96,1.78,1.78,1.78,1.0,1.0,22.2,324.2,0.0
full_eto,001,2010,21,2010-12-01,initial,0.6,0.188,3.08,1.85,1.85,1.85,1.0,1.0,22.9,347.2,0.0
full_eto,001,2010,22,2010-12-02,initial,0.6,0.192,3.17,1.9,1.9,1.9,1.0,1.0,23.6,370.7,0.0
full_eto,001,2010,23,2010-12-03,initial,0.6,0.197,2.99,1.8,1.8,1.8,1.0,1.0,22.7,393.4,0.0
full_eto,001,2010,24,2010-12-04,initial,0.6,0.201,3.06,1.83,1.83,1.83,1.0,1.0,23.2,416.6,0.0
full_eto,001,2010,25,2010-12-05,initial,0.6,0.206,3.04,1.83,1.83,1.83,1.0,1.0,23.8,440.4,0.0
full_eto,001,2010,26,2010-12-06,initial,0.6,0.21,3.62,2.17,2.17,2.17,1.0,1.0,23.9,464.3,0.0
full_eto,001,2010,27,2010-12-07,initial,0.6,0.214,3.0,1.8,1.8,1.8,1.0,0.979,24.1,488.4,0.0
full_eto,001,2010,28,2010-12-08,initial,0.6,0.219,2.62,1.57,1.57,1.57,1.0,0.996,23.0,511.3,0.0
full_eto,001,2010,29,2010-12-09,initial,0.6,0.223,3.14,1.88,1.88,1.88,1.0,1.0,23.1,534.4,0.0
full_eto,001,2010,30,2010-12-10,initial,0.6,0.228,2.95,1.77,1.77,1.79,1.0,1.0,24.8,559.3,0.0
full_eto,001,2010,31,2010-12-11,development,0.6,0.228,3.24,1.95,1.95,1.99,1.0,1.0,19.2,578.5,0.0
full_eto,001,2010,32,2010-12-12,development,0.614,0.243,2.59,1.59,1.59,1.59,1.0,0.523,11.2,589.7,0.0
full_eto,001,2010,33,2010-12-13,development,0.628,0.259,2.34,1.47,1.47,1.47,1.0,0.449,11.7,601.4,0.0
full_eto,001,2010,34,2010-12-14,development,0.642,0.275,1.7,1.09,1.09,1.09,1.0,0.682,19.3,620.7,0.0
full_eto,001,2010,35,2010-12-15,development,0.656,0.291,2.04,1.34,1.34,1.34,1.0,0.855,21.0,641.7,0.0
full_eto,001,2010,36,2010-12-16,development,0.671,0.307,2.32,1.56,1.56,1.56,1.0,1.0,33.5,675.2,0.0
full_eto,001,2010,37,2010-12-17,development,0.685,0.323,2.42,1.66,1.66,1.66,1.0,1.0,35.4,710.6,0.0
full_eto,001,2010,38,2010-12-18,development,0.699,0.339,2.85,1.99,1.99,1.99,1.0,0.87,31.6,742.1,0.0
full_eto,001,2010,39,2010-12-19,development,0.713,0.355,2.84,2.02,2.02,2.02,1.0,0.708,27.8,769.9,0.0
full_eto,001,2010,40,2010-12-20,development,0.727,0.371,2.94,2.14,2.14,2.14,1.0,0.959,37.3,807.2,0.0
full_eto,001,2010,41,2010-12-21,development,0.741,0.387,2.82,2.09,2.09,2.09,1.0,1.0,40.2,847.5,0.0
full_eto,001,2010,42,2010-12-22,development,0.755,0.403,2.92,2.2,2.2,2.2,1.0,1.0,39.7,887.1,0.0
full_eto,001,2010,43,2010-12-23,development,0.769,0.419,3.55,2.73,2.73,2.73,1.0,1.0,40.7,927.8,0.0
full_eto,001,2010,44,2010-12-24,development,0.783,0.435,3.18,2.49,2.49,2.49,1.0,1.0,49.1,976.9,0.0
full_eto,001,2010,45,2010-12-25,development,0.797,0.451,2.69,2.14,2.14,2.14,1.0,1.0,51.5,1028.4,0.0
full_eto,001,2010,46,2010-12-26,development,0.812,0.467,2.44,1.98,1.98,1.98,1.0,1.0,53.2,1081.6,0.0
full_eto,001,2010,47,2010-12-27,development,0.826,0.483,2.92,2.41,2.41,2.41,1.0,1.0,54.5,1136.0,0.0
full_eto,001,2010,48,2010-12-28,development,0.84,0.499,3.24,2.72,2.72,2.72,1.0,1.0,55.9,1191.9,0.0
full_eto,001,2010,49,2010-12-29,development,0.854,0.515,2.84,2.42,2.42,2.67,1.0,1.0,20.5,1212.4,0.0
full_eto,001,2010,50,2010-12-30,development,0.868,0.531,2.54,2.21,2.21,2.43,1.0,0.912,30.2,1242.6,0.0
full_eto,001,2010,51,2010-12-31,development,0.882,0.547,2.6,2.29,2.29,2.35,1.0,0.745,40.0,1282.6,0.0
full_eto,001,2010,52,2011-01-01,development,0.896,0.563,2.35,2.11,2.11,2.11,1.0,0.728,44.8,1327.5,0.0
full_eto,001,2010,53,2011-01-02,development,0.91,0.579,2.12,1.93,1.93,1.93,1.0,0.857,53.9,1381.3,0.0
full_eto,001,2010,54,2011-01-03,development,0.924,0.595,1.93,1.79,1.79,1.79,1.0,0.832,40.7,1422.1,0.0
full_eto,001,2010,55,2011-01-04,development,0.938,0.611,2.81,2.64,2.64,2.64,1.0,0.732,50.1,1472.2,0.0
full_eto,001,2010,56,2011-01-05,development,0.953,0.627,2.87,2.73,2.73,2.73,1.0,0.692,50.1,1522.3,0.0
full_eto,001,2010,57,2011-01-06,development,0.967,0.642,2.93,2.83,2.83,2.83,1.0,0.742,54.7,1577.0,0.0
full_eto,001,2010,58,2011-01-07,development,0.981,0.658,3.29,3.22,3.22,3.22,1.0,0.781,58.4,1635.4,0.0
full_eto,001,2010,59,2011-01-08,development,0.995,0.674,2.96,2.95,2.95,2.95,1.0,0.584,46.7,1682.1,0.0
full_eto,001,2010,60,2011-01-09,development,1.009,0.69,2.78,2.81,2.81,2.81,1.0,0.53,43.8,1725.8,0.0
full_eto,001,2010,61,2011-01-10,development,1.023,0.706,2.63,2.69,2.69,2.69,1.0,0.582,50.3,1776.1,0.0
full_eto,001,2010,62,2011-01-11,development,1.037,0.722,2.45,2.54,2.54,2.54,1.0,0.696,58.0,1834.1,0.0
full_eto,001,2010,63,2011-01-12,development,1.051,0.738,2.33,2.44,2.44,2.44,1.0,0.931,77.5,1911.6,0.0
full_eto,001,2010,64,2011-01-13,development,1.065,0.754,2.49,2.66,2.66,2.66,1.0,0.834,76.1,1987.7,0.0
full_eto,001,2010,65,2011-01-14,development,1.079,0.77,2.7,2.92,2.92,2.93,1.0,0.69,62.0,2049.7,0.0
full_eto,001,2010,66,2011-01-15,development,1.094,0.786,2.57,2.81,2.81,2.94,1.0,0.572,46.3,2096.0,0.0
full_eto,001,2010,67,2011-01-16,development,1.108,0.802,2.74,3.03,3.03,3.03,1.0,0.632,61.2,2157.2,0.0
full_eto,001,2010,68,2011-01-17,development,1.122,0.818,2.17,2.44,2.44,2.68,1.0,0.693,59.7,2216.9,0.0
full_eto,001,2010,69,2011-01-18,development,1.136,0.834,2.12,2.41,2.41,2.65,1.0,0.475,28.6,2245.5,0.0
full_eto,001,2010,70,2011-01-19,development,1.15,0.85,2.36,2.72,2.72,2.72,1.0,0.73,71.4,2316.9,0.0
full_eto,001,2010,71,2011-01-20,mid,1.15,0.85,2.35,2.71,2.71,2.71,1.0,0.755,75.2,2392.1,0.0
full_eto,001,2010,72,2011-01-21,mid,1.15,0.85,2.6,2.99,2.99,2.99,1.0,0.766,80.0,2472.0,0.0
full_eto,001,2010,73,2011-01-22,mid,1.15,0.85,2.8,3.22,3.22,3.22,1.0,0.838,89.4,2561.4,0.0
full_eto,001,2010,74,2011-01-23,mid,1.15,0.85,2.71,3.11,3.11,3.11,1.0,0.795,86.0,2647.4,0.0
full_eto,001,2010,75,2011-01-24,mid,1.15,0.85,3.03,3.49,3.49,3.49,1.0,0.815,89.8,2737.2,0.0
full_eto,001,2010,76,2011-01-25,mid,1.15,0.85,2.61,3.01,3.01,3.01,1.0,0.688,61.0,2798.1,0.0
full_eto,001,2010,77,2011-01-26,mid,1.15,0.85,2.92,3.36,3.36,3.36,1.0,0.695,75.1,2873.2,0.0
full_eto,001,2010,78,2011-01-27,mid,1.15,0.85,2.59,2.98,2.98,2.98,1.0,0.98,105.7,2978.9,0.0
full_eto,001,2010,79,2011-01-28,mid,1.15,0.85,2.64,3.04,3.04,3.04,1.0,0.926,94.0,3072.9,0.0
full_eto,001,2010,80,2011-01-29,mid,1.15,0.85,3.29,3.78,3.78,3.78,1.0,1.0,100.6,3173.5,0.0
full_eto,001,2010,81,2011-01-30,mid,1.15,0.85,3.09,3.56,3.56,3.56,1.0,0.758,84.1,3257.6,0.0
full_eto,001,2010,82,2011-01-31,mid,1.15,0.85,3.08,3.54,3.54,3.54,1.0,0.626,68.8,3326.4,0.0
full_eto,001,2010,83,2011-02-01,mid,1.15,0.85,2.57,2.96,2.96,2.96,1.0,0.773,69.6,3396.0,0.0
full_eto,001,2010,84,2011-02-02,mid,1.15,0.85,3.07,3.53,3.53,3.53,1.0,0.739,83.7,3479.7,0.0
full_eto,001,2010,85,2011-02-03,mid,1.15,0.85,2.79,3.21,3.21,3.21,1.0,0.903,90.5,3570.1,0.0
full_eto,001,2010,86,2011-02-04,mid,1.15,0.85,3.0,3.45,3.45,3.45,1.0,1.0,94.2,3664.4,0.0
full_eto,001,2010,87,2011-02-05,mid,1.15,0.85,2.86,3.29,3.29,3.34,1.0,0.951,84.0,3748.3,0.0
full_eto,001,2010,88,2011-02-06,mid,1.15,0.85,2.55,2.93,2.93,2.95,1.0,1.0,85.8,3834.1,0.0
full_eto,001,2010,89,2011-02-07,mid,1.15,0.85,3.93,4.52,4.52,4.52,1.0,1.0,111.4,3945.5,0.0
full_eto,001,2010,90,2011-02-08,mid,1.15,0.85,3.51,4.04,4.04,4.05,1.0,0.778,84.8,4030.3,0.0
full_eto,001,2010,91,2011-02-09,mid,1.15,0.85,3.09,3.55,3.55,3.55,1.0,0.69,78.5,4108.8,0.0
full_eto,001,2010,92,2011-02-10,mid,1.15,0.85,2.7,3.1,3.1,3.1,1.0,0.647,54.6,4163.4,0.0
full_eto,001,2010,93,2011-02-11,mid,1.15,0.85,3.41,3.92,3.92,3.93,1.0,0.637,75.0,4238.4,0.0
full_eto,001,2010,94,2011-02-12,mid,1.15,0.85,3.14,3.61,3.61,3.61,1.0,0.602,76.6,4315.0,0.0
full_eto,001,2010,95,2011-02-13,mid,1.15,0.85,3.45,3.97,3.97,3.97,1.0,0.62,78.3,4393.3,0.0
full_eto,001,2010,96,2011-02-14,mid,1.15,0.85,3.44,3.95,3.95,3.95,1.0,0.662,85.3,4478.7,0.0
full_eto,001,2010,97,2011-02-15,mid,1.15,0.85,3.75,4.31,4.31,4.31,1.0,1.0,111.4,4590.1,0.0
full_eto,001,2010,98,2011-02-16,mid,1.15,0.85,3.58,4.12,4.12,4.12,1.0,0.758,80.3,4670.4,0.0
full_eto,001,2010,99,2011-02-17,mid,1.15,0.85,3.3,3.8,3.8,3.8,1.0,0.704,90.2,4760.6,0.0
full_eto,001,2010,100,2011-02-18,mid,1.15,0.85,3.18,3.65,3.65,3.65,1.0,0.941,125.2,4885.7,0.0
full_eto,001,2010,101,2011-02-19,mid,1.15,0.85,3.73,4.29,4.29,4.29,1.0,1.0,133.7,5019.4,0.0
full_eto,001,2010,102,2011-02-20,mid,1.15,0.85,3.75,4.31,4.31,4.31,1.0,0.795,92.4,5111.8,0.0
full_eto,001,2010,103,2011-02-21,mid,1.15,0.85,3.48,4.0,4.0,4.0,1.0,0.702,91.9,5203.7,0.0
full_eto,001,2010,104,2011-02-22,mid,1.15,0.85,3.39,3.9,3.9,3.9,1.0,0.912,121.8,5325.5,0.0
full_eto,001,2010,105,2011-02-23,mid,1.15,0.85,3.77,4.34,4.34,4.34,1.0,1.0,136.3,5461.8,0.0
full_eto,001,2010,106,2011-02-24,mid,1.15,0.85,3.37,3.88,3.88,3.88,1.0,1.0,116.8,5578.6,0.0
full_eto,001,2010,107,2011-02-25,mid,1.15,0.85,4.17,4.8,4.8,4.8,1.0,0.937,122.9,5701.5,0.0
full_eto,001,2010,108,2011-02-26,mid,1.15,0.85,3.66,4.21,4.21,4.21,1.0,0.662,85.9,5787.3,0.0
full_eto,001,2010,109,2011-02-27,mid,1.15,0.85,3.83,4.41,4.41,4.41,1.0,0.768,106.0,5893.4,0.0
full_eto,001,2010,110,2011-02-28,mid,1.15,0.85,3.98,4.57,4.57,4.57,1.0,0.794,111.3,6004.7,0.0
full_eto,001,2010,111,2011-03-01,late,1.15,0.85,3.88,4.46,4.46,4.46,1.0,1.0,139.6,6144.3,0.0
full_eto,001,2010,112,2011-03-02,late,1.135,0.843,4.18,4.74,4.74,4.74,1.0,0.973,133.0,6277.3,0.0
full_eto,001,2010,113,2011-03-03,late,1.121,0.836,4.7,5.27,5.27,5.27,1.0,1.0,141.9,6419.2,0.0
full_eto,001,2010,114,2011-03-04,late,1.106,0.829,4.87,5.39,5.39,5.39,1.0,1.0,143.2,6562.4,0.0
full_eto,001,2010,115,2011-03-05,late,1.092,0.822,4.86,5.3,5.3,5.3,1.0,1.0,141.8,6704.2,0.0
full_eto,001,2010,116,2011-03-06,late,1.077,0.815,4.0,4.31,4.31,4.31,1.0,1.0,138.1,6842.2,0.0
full_eto,001,2010,117,2011-03-07,late,1.062,0.807,4.15,4.41,4.41,4.41,1.0,1.0,132.6,6974.9,0.0
full_eto,001,2010,118,2011-03-08,late,1.048,0.8,4.04,4.24,4.24,4.24,1.0,0.829,117.2,7092.1,0.0
full_eto,001,2010,119,2011-03-09,late,1.033,0.793,4.21,4.35,4.35,4.35,1.0,0.791,106.2,7198.3,0.0
full_eto,001,2010,120,2011-03-10,late,1.019,0.786,3.25,3.31,3.31,3.31,1.0,0.421,55.5,7253.8,0.0
full_eto,001,2010,121,2011-03-11,late,1.004,0.779,3.47,3.48,3.48,3.49,1.0,0.37,51.3,7305.1,0.0
full_eto,001,2010,122,2011-03-12,late,0.99,0.772,4.01,3.97,3.97,3.98,1.0,0.589,76.4,7381.5,0.0
full_eto,001,2010,123,2011-03-13,late,0.975,0.765,4.15,4.04,4.04,4.04,1.0,0.718,97.7,7479.2,0.0
full_eto,001,2010,124,2011-03-14,late,0.96,0.758,4.33,4.16,4.16,4.16,1.0,0.848,121.4,7600.6,0.0
full_eto,001,2010,125,2011-03-15,late,0.946,0.751,4.75,4.5,4.5,4.5,1.0,1.0,146.1,7746.8,0.0
full_eto,001,2010,126,2011-03-16,late,0.931,0.744,4.67,4.35,4.35,4.35,1.0,1.0,143.9,7890.7,0.0
full_eto,001,2010,127,2011-03-17,late,0.917,0.737,4.49,4.12,4.12,4.12,1.0,1.0,139.5,8030.2,0.0
full_eto,001,2010,128,2011-03-18,late,0.902,0.73,4.58,4.13,4.13,4.13,1.0,1.0,137.6,8167.8,0.0
full_eto,001,2010,129,2011-03-19,late,0.887,0.723,4.31,3.83,3.83,3.83,1.0,1.0,132.2,8300.1,0.0
full_eto,001,2010,130,2011-03-20,late,0.873,0.715,4.42,3.86,3.86,3.86,1.0,1.0,123.2,8423.3,0.0
full_eto,001,2010,131,2011-03-21,late,0.858,0.708,4.64,3.98,3.98,3.98,1.0,1.0,116.1,8539.4,0.0
full_eto,001,2010,132,2011-03-22,late,0.844,0.701,4.71,3.98,3.98,3.98,1.0,1.0,134.6,8674.0,0.0
full_eto,001,2010,133,2011-03-23,late,0.829,0.694,4.51,3.74,3.74,3.74,1.0,0.848,115.3,8789.3,0.0
full_eto,001,2010,134,2011-03-24,late,0.815,0.687,4.22,3.43,3.43,3.43,1.0,0.75,99.4,8888.7,0.0
full_eto,001,2010,135,2011-03-25,late,0.8,0.68,3.93,3.14,3.14,3.17,1.0,0.598,63.5,8952.2,51708.0
full_eto,001,2011,1,2011-11-11,initial,0.6,0.1,3.22,1.93,1.93,1.93,1.0,1.0,13.4,13.4,0.0
full_eto,001,2011,2,2011-11-12,initial,0.6,0.104,3.22,1.93,1.93,1.93,1.0,1.0,13.9,27.3,0.0
full_eto,001,2011,3,2011-11-13,initial,0.6,0.109,3.42,2.05,2.05,2.05,1.0,1.0,12.9,40.1,0.0
full_eto,001,2011,4,2011-11-14,initial,0.6,0.113,3.54,2.13,2.13,2.13,1.0,1.0,13.9,54.0,0.0
full_eto,001,2011,5,2011-11-15,initial,0.6,0.118,3.16,1.9,1.9,1.9,1.0,0.91,13.7,67.7,0.0
full_eto,001,2011,6,2011-11-16,initial,0.6,0.122,3.03,1.82,1.82,1.82,1.0,0.777,11.0,78.7,0.0
full_eto,001,2011,7,2011-11-17,initial,0.6,0.126,2.92,1.75,1.75,1.75,1.0,0.883,14.2,92.8,0.0
full_eto,001,2011,8,2011-11-18,initial,0.6,0.131,3.08,1.85,1.85,1.85,1.0,1.0,15.5,108.3,0.0
full_eto,001,2011,9,2011-11-19,initial,0.6,0.135,3.29,1.97,1.97,1.97,1.0,0.822,13.8,122.2,0.0
full_eto,001,2011,10,2011-11-20,initial,0.6,0.14,3.25,1.95,1.95,1.95,1.0,0.7,12.4,134.5,0.0
full_eto,001,2011,11,2011-11-21,initial,0.6,0.144,3.27,1.96,1.96,1.96,1.0,0.743,13.2,147.8,0.0
full_eto,001,2011,12,2011-11-22,initial,0.6,0.148,3.22,1.93,1.93,1.93,1.0,0.925,17.2,164.9,0.0
full_eto,001,2011,13,2011-11-23,initial,0.6,0.153,2.97,1.78,1.78,1.78,1.0,1.0,18.7,183.6,0.0
full_eto,001,2011,14,2011-11-24,initial,0.6,0.157,3.25,1.95,1.95,1.95,1.0,0.891,16.8,200.4,0.0
full_eto,001,2011,15,2011-11-25,initial,0.6,0.162,3.39,2.03,2.03,2.03,1.0,0.943,16.3,216.8,0.0
full_eto,001,2011,16,2011-11-26,initial,0.6,0.166,3.19,1.91,1.91,1.91,1.0,0.834,16.6,233.4,0.0
full_eto,001,2011,17,2011-11-27,initial,0.6,0.17,3.2,1.92,1.92,1.92,1.0,0.732,14.9,248.3,0.0
full_eto,001,2011,18,2011-11-28,initial,0.6,0.175,3.21,1.93,1.93,1.95,1.0,0.813,16.1,264.4,0.0
full_eto,001,2011,19,2011-11-29,initial,0.6,0.179,2.76,1.66,1.66,1.66,1.0,0.752,16.0,280.5,0.0
full_eto,001,2011,20,2011-11-30,initial,0.6,0.184,2.36,1.42,1.42,1.42,1.0,0.843,17.6,298.1,0.0
full_eto,001,2011,21,2011-12-01,initial,0.6,0.188,2.59,1.55,1.55,1.55,1.0,0.859,18.8,316.8,0.0
full_eto,001,2011,22,2011-12-02,initial,0.6,0.192,2.83,1.7,1.7,1.7,1.0,0.914,20.2,337.0,0.0
full_eto,001,2011,23,2011-12-03,initial,0.6,0.197,2.92,1.75,1.75,1.75,1.0,0.928,21.0,358.0,0.0
full_eto,001,2011,24,2011-12-04,initial,0.6,0.201,2.82,1.69,1.69,1.69,1.0,0.98,23.2,381.2,0.0
full_eto,001,2011,25,2011-12-05,initial,0.6,0.206,2.91,1.75,1.75,1.75,1.0,0.929,22.2,403.4,0.0
full_eto,001,2011,26,2011-12-06,initial,0.6,0.21,3.32,1.99,1.99,1.99,1.0,0.914,22.3,425.7,0.0
full_eto,001,2011,27,2011-12-07,initial,0.6,0.214,2.8,1.68,1.68,1.68,1.0,0.793,18.3,444.0,0.0
full_eto,001,2011,28,2011-12-08,initial,0.6,0.219,3.29,1.97,1.97,1.97,1.0,0.807,20.0,464.1,0.0
full_eto,001,2011,29,2011-12-09,initial,0.6,0.223,3.01,1.8,1.8,1.8,1.0,0.722,18.9,483.0,0.0
full_eto,001,2011,30,2011-12-10,initial,0.6,0.228,3.15,1.89,1.89,1.89,1.0,0.697,18.7,501.6,0.0
full_eto,001,2011,31,2011-12-11,development,0.6,0.228,2.86,1.72,1.72,1.72,1.0,0.805,21.4,523.1,0.0
full_eto,001,2011,32,2011-12-12,development,0.614,0.243,2.98,1.83,1.83,1.83,1.0,0.859,23.4,546.4,0.0
full_eto,001,2011,33,2011-12-13,development,0.628,0.259,2.72,1.71,1.71,1.71,1.0,0.868,25.0,571.4,0.0
full_eto,001,2011,34,2011-12-14,development,0.642,0.275,2.43,1.56,1.56,1.56,1.0,0.934,20.6,591.9,0.0
full_eto,001,2011,35,2011-12-15,development,0.656,0.291,3.49,2.29,2.29,2.29,1.0,0.801,25.8,617.7,0.0
full_eto,001,2011,36,2011-12-16,development,0.671,0.307,2.53,1.69,1.69,1.69,1.0,0.628,20.4,638.1,0.0
full_eto,001,2011,37,2011-12-17,development,0.685,0.323,2.49,1.7,1.7,1.7,1.0,0.801,29.2,667.3,0.0
full_eto,001,2011,38,2011-12-18,development,0.699,0.339,2.42,1.69,1.69,1.69,1.0,0.924,32.6,699.9,0.0
full_eto,001,2011,39,2011-12-19,development,0.713,0.355,2.65,1.89,1.89,1.89,1.0,1.0,36.2,736.2,0.0
full_eto,001,2011,40,2011-12-20,development,0.727,0.371,2.26,1.64,1.64,1.64,1.0,1.0,38.1,774.2,0.0
full_eto,001,2011,41,2011-12-21,development,0.741,0.387,2.27,1.68,1.68,1.68,1.0,0.881,25.3,799.5,0.0
full_eto,001,2011,42,2011-12-22,development,0.755,0.403,2.95,2.23,2.23,2.23,1.0,0.837,36.3,835.8,0.0
full_eto,001,2011,43,2011-12-23,development,0.769,0.419,2.79,2.15,2.15,2.15,1.0,0.785,35.7,871.5,0.0
full_eto,001,2011,44,2011-12-24,development,0.783,0.435,2.69,2.11,2.11,2.11,1.0,0.637,30.1,901.6,0.0
full_eto,001,2011,45,2011-12-25,development,0.797,0.451,2.62,2.09,2.09,2.09,1.0,0.543,26.5,928.1,0.0
full_eto,001,2011,46,2011-12-26,development,0.812,0.467,2.72,2.2,2.2,2.2,1.0,0.641,33.9,962.0,0.0
full_eto,001,2011,47,2011-12-27,development,0.826,0.483,2.75,2.27,2.27,2.27,1.0,0.757,41.2,1003.2,0.0
full_eto,001,2011,48,2011-12-28,development,0.84,0.499,2.51,2.11,2.11,2.11,1.0,0.749,41.5,1044.7,0.0
full_eto,001,2011,49,2011-12-29,development,0.854,0.515,2.17,1.85,1.85,1.86,1.0,0.778,44.0,1088.7,0.0
full_eto,001,2011,50,2011-12-30,development,0.868,0.531,1.81,1.57,1.57,1.65,1.0,0.993,26.1,1114.8,0.0
full_eto,001,2011,51,2011-12-31,development,0.882,0.547,3.02,2.66,2.66,2.66,1.0,0.748,36.8,1151.6,0.0
full_eto,001,2011,52,2012-01-01,development,0.896,0.563,2.71,2.42,2.42,2.42,1.0,0.542,34.8,1186.4,0.0
full_eto,001,2011,53,2012-01-02,development,0.91,0.579,2.74,2.49,2.49,2.49,1.0,0.522,32.6,1219.0,0.0
full_eto,001,2011,54,2012-01-03,development,0.924,0.595,2.72,2.51,2.51,2.51,1.0,0.602,40.6,1259.5,0.0
full_eto,001,2011,55,2012-01-04,development,0.938,0.611,2.57,2.41,2.41,2.41,1.0,0.663,47.0,1306.6,0.0
full_eto,001,2011,56,2012-01-05,development,0.953,0.627,2.66,2.54,2.54,2.54,1.0,0.581,42.5,1349.1,0.0
full_eto,001,2011,57,2012-01-06,development,0.967,0.642,2.43,2.35,2.35,2.35,1.0,0.466,35.3,1384.4,0.0
full_eto,001,2011,58,2012-01-07,development,0.981,0.658,2.21,2.16,2.16,2.16,1.0,0.577,45.4,1429.7,0.0
full_eto,001,2011,59,2012-01-08,development,0.995,0.674,2.68,2.66,2.66,2.66,1.0,0.545,40.5,1470.2,0.0
full_eto,001,2011,60,2012-01-09,development,1.009,0.69,2.52,2.54,2.54,2.54,1.0,0.434,34.4,1504.6,0.0
full_eto,001,2011,61,2012-01-10,development,1.023,0.706,2.36,2.42,2.42,2.42,1.0,0.602,46.8,1551.4,0.0
full_eto,001,2011,62,2012-01-11,development,1.037,0.722,2.65,2.75,2.75,2.75,1.0,0.439,36.3,1587.7,0.0
