# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for cucumber planted 03-22
#   under openfield (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 03-22
# CONDITION: openfield
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-03-22,initial,0.6,0.1,5.07,3.04,3.04,3.04,1.0,1.0,16.7,16.7,0.0
full_eto,001,2010,2,2010-03-23,initial,0.6,0.106,4.88,2.93,2.93,2.93,1.0,0.882,15.9,32.5,0.0
full_eto,001,2010,3,2010-03-24,initial,0.6,0.112,4.44,2.67,2.67,2.67,1.0,0.979,18.8,51.3,0.0
full_eto,001,2010,4,2010-03-25,initial,0.6,0.118,5.18,3.11,3.11,3.11,1.0,0.982,19.2,70.6,0.0
full_eto,001,2010,5,2010-03-26,initial,0.6,0.124,4.42,2.65,2.65,2.65,1.0,0.755,15.9,86.5,0.0
full_eto,001,2010,6,2010-03-27,initial,0.6,0.13,4.28,2.57,2.57,2.6,1.0,0.645,13.0,99.5,0.0
full_eto,001,2010,7,2010-03-28,initial,0.6,0.136,4.27,2.56,2.56,2.56,1.0,0.854,20.2,119.7,0.0
full_eto,001,2010,8,2010-03-29,initial,0.6,0.141,4.6,2.76,2.76,2.76,1.0,1.0,24.6,144.3,0.0
full_eto,001,2010,9,2010-03-30,initial,0.6,0.147,5.04,3.03,3.03,3.03,1.0,0.876,24.5,168.7,0.0
full_eto,001,2010,10,2010-03-31,initial,0.6,0.153,5.14,3.08,3.08,3.08,1.0,0.859,26.0,194.8,0.0
full_eto,001,2010,11,2010-04-01,initial,0.6,0.159,5.94,3.56,3.56,3.56,1.0,1.0,31.3,226.1,0.0
full_eto,001,2010,12,2010-04-02,initial,0.6,0.165,6.32,3.79,3.79,3.79,1.0,1.0,31.5,257.6,0.0
full_eto,001,2010,13,2010-04-03,initial,0.6,0.171,6.13,3.68,3.68,3.68,1.0,1.0,29.9,287.4,0.0
full_eto,001,2010,14,2010-04-04,initial,0.6,0.177,5.54,3.32,3.32,3.32,1.0,1.0,29.4,316.9,0.0
full_eto,001,2010,15,2010-04-05,initial,0.6,0.183,5.88,3.53,3.53,3.53,1.0,1.0,34.0,350.9,0.0
full_eto,001,2010,16,2010-04-06,initial,0.6,0.189,5.6,3.36,3.36,3.36,1.0,0.983,35.6,386.6,0.0
full_eto,001,2010,17,2010-04-07,initial,0.6,0.195,5.56,3.34,3.34,3.34,1.0,0.983,36.5,423.1,0.0
full_eto,001,2010,18,2010-04-08,initial,0.6,0.201,5.31,3.19,3.19,3.19,1.0,0.938,35.9,459.0,0.0
full_eto,001,2010,19,2010-04-09,initial,0.6,0.207,5.57,3.34,3.34,3.34,1.0,0.97,37.9,496.9,0.0
full_eto,001,2010,20,2010-04-10,initial,0.6,0.212,5.12,3.07,3.07,3.07,1.0,1.0,37.4,534.3,0.0
full_eto,001,2010,21,2010-04-11,development,0.6,0.212,5.6,3.36,3.36,3.36,1.0,1.0,35.9,570.3,0.0
full_eto,001,2010,22,2010-04-12,development,0.614,0.231,5.13,3.15,3.15,3.15,1.0,0.955,41.2,611.4,0.0
full_eto,001,2010,23,2010-04-13,development,0.628,0.25,5.3,3.33,3.33,3.33,1.0,0.831,41.9,653.3,0.0
full_eto,001,2010,24,2010-04-14,development,0.641,0.268,5.82,3.73,3.73,3.73,1.0,1.0,53.1,706.4,0.0
full_eto,001,2010,25,2010-04-15,development,0.655,0.287,5.38,3.52,3.52,3.52,1.0,1.0,55.1,761.5,0.0
full_eto,001,2010,26,2010-04-16,development,0.669,0.305,5.58,3.73,3.73,3.73,1.0,1.0,60.1,821.6,0.0
full_eto,001,2010,27,2010-04-17,development,0.683,0.324,6.38,4.36,4.36,4.36,1.0,1.0,65.8,887.4,0.0
full_eto,001,2010,28,2010-04-18,development,0.697,0.342,6.36,4.43,4.43,4.43,1.0,1.0,67.1,954.4,0.0
full_eto,001,2010,29,2010-04-19,development,0.71,0.361,6.61,4.7,4.7,4.7,1.0,1.0,71.3,1025.7,0.0
full_eto,001,2010,30,2010-04-20,development,0.724,0.379,6.33,4.58,4.58,4.58,1.0,1.0,73.0,1098.6,0.0
full_eto,001,2010,31,2010-04-21,development,0.738,0.398,5.73,4.23,4.23,4.23,1.0,1.0,68.4,1167.0,0.0
full_eto,001,2010,32,2010-04-22,development,0.752,0.416,5.17,3.89,3.89,3.89,1.0,0.932,81.2,1248.2,0.0
full_eto,001,2010,33,2010-04-23,development,0.766,0.435,5.35,4.09,4.09,4.09,1.0,0.894,75.6,1323.9,0.0
full_eto,001,2010,34,2010-04-24,development,0.779,0.453,5.89,4.59,4.59,4.59,1.0,1.0,95.2,1419.1,0.0
full_eto,001,2010,35,2010-04-25,development,0.793,0.472,6.01,4.77,4.77,4.77,1.0,1.0,94.0,1513.0,0.0
full_eto,001,2010,36,2010-04-26,development,0.807,0.491,6.72,5.42,5.42,5.42,1.0,1.0,99.6,1612.6,0.0
full_eto,001,2010,37,2010-04-27,development,0.821,0.509,6.17,5.06,5.06,5.06,1.0,1.0,104.8,1717.3,0.0
full_eto,001,2010,38,2010-04-28,development,0.834,0.528,5.68,4.74,4.74,4.74,1.0,1.0,100.1,1817.4,0.0
full_eto,001,2010,39,2010-04-29,development,0.848,0.546,4.78,4.06,4.06,4.06,1.0,1.0,90.6,1908.0,0.0
full_eto,001,2010,40,2010-04-30,development,0.862,0.565,3.97,3.42,3.42,3.44,1.0,1.0,59.7,1967.8,0.0
full_eto,001,2010,41,2010-05-01,development,0.876,0.583,4.6,4.03,4.03,4.13,1.0,1.0,87.7,2055.4,0.0
full_eto,001,2010,42,2010-05-02,development,0.89,0.602,5.63,5.0,5.0,5.0,1.0,1.0,129.5,2184.9,0.0
full_eto,001,2010,43,2010-05-03,development,0.903,0.62,6.05,5.47,5.47,5.47,1.0,1.0,135.2,2320.1,0.0
full_eto,001,2010,44,2010-05-04,development,0.917,0.639,6.17,5.66,5.66,5.66,1.0,1.0,138.4,2458.5,0.0
full_eto,001,2010,45,2010-05-05,development,0.931,0.657,6.55,6.1,6.1,6.1,1.0,1.0,143.6,2602.1,0.0
full_eto,001,2010,46,2010-05-06,development,0.945,0.676,6.81,6.44,6.44,6.44,1.0,1.0,148.2,2750.3,0.0
full_eto,001,2010,47,2010-05-07,development,0.959,0.694,6.52,6.25,6.25,6.25,1.0,1.0,148.5,2898.8,0.0
full_eto,001,2010,48,2010-05-08,development,0.972,0.713,6.73,6.55,6.55,6.55,1.0,0.945,138.1,3037.0,0.0
full_eto,001,2010,49,2010-05-09,development,0.986,0.731,6.41,6.32,6.32,6.32,1.0,0.887,120.1,3157.0,0.0
full_eto,001,2010,50,2010-05-10,development,1.0,0.75,6.66,6.66,6.66,6.66,1.0,1.0,137.8,3294.9,0.0
full_eto,001,2010,51,2010-05-11,mid,1.0,0.75,6.25,6.25,6.25,6.25,1.0,1.0,152.4,3447.3,0.0
full_eto,001,2010,52,2010-05-12,mid,1.0,0.75,6.58,6.58,6.58,6.58,1.0,1.0,160.8,3608.0,0.0
full_eto,001,2010,53,2010-05-13,mid,1.0,0.75,7.14,7.14,7.14,7.14,1.0,1.0,163.7,3771.7,0.0
full_eto,001,2010,54,2010-05-14,mid,1.0,0.75,8.2,8.2,8.2,8.2,1.0,1.0,164.3,3936.0,0.0
full_eto,001,2010,55,2010-05-15,mid,1.0,0.75,7.43,7.43,7.43,7.43,1.0,0.974,153.2,4089.2,0.0
full_eto,001,2010,56,2010-05-16,mid,1.0,0.75,7.29,7.29,7.29,7.29,1.0,0.698,104.2,4193.5,0.0
full_eto,001,2010,57,2010-05-17,mid,1.0,0.75,6.66,6.66,6.66,6.66,1.0,0.786,101.7,4295.2,0.0
full_eto,001,2010,58,2010-05-18,mid,1.0,0.75,6.22,6.22,6.22,6.22,1.0,1.0,138.0,4433.2,0.0
full_eto,001,2010,59,2010-05-19,mid,1.0,0.75,6.87,6.87,6.87,6.87,1.0,1.0,156.1,4589.3,0.0
full_eto,001,2010,60,2010-05-20,mid,1.0,0.75,7.08,7.08,7.08,7.08,1.0,1.0,158.0,4747.3,0.0
full_eto,001,2010,61,2010-05-21,mid,1.0,0.75,6.98,6.98,6.98,6.98,1.0,1.0,161.7,4909.1,0.0
full_eto,001,2010,62,2010-05-22,mid,1.0,0.75,7.22,7.22,7.22,7.22,1.0,1.0,156.9,5066.0,0.0
full_eto,001,2010,63,2010-05-23,mid,1.0,0.75,6.49,6.49,6.49,6.49,1.0,1.0,161.2,5227.1,0.0
full_eto,001,2010,64,2010-05-24,mid,1.0,0.75,6.71,6.71,6.71,6.71,1.0,1.0,163.1,5390.2,0.0
full_eto,001,2010,65,2010-05-25,mid,1.0,0.75,6.94,6.94,6.94,6.94,1.0,1.0,161.9,5552.2,0.0
full_eto,001,2010,66,2010-05-26,mid,1.0,0.75,7.52,7.52,7.52,7.52,1.0,1.0,161.4,5713.5,0.0
full_eto,001,2010,67,2010-05-27,mid,1.0,0.75,6.78,6.78,6.78,6.78,1.0,1.0,140.2,5853.7,0.0
full_eto,001,2010,68,2010-05-28,mid,1.0,0.75,6.4,6.4,6.4,6.4,1.0,1.0,156.7,6010.4,0.0
full_eto,001,2010,69,2010-05-29,mid,1.0,0.75,7.11,7.11,7.11,7.11,1.0,1.0,163.5,6173.9,0.0
full_eto,001,2010,70,2010-05-30,mid,1.0,0.75,6.97,6.97,6.97,6.97,1.0,1.0,162.5,6336.4,0.0
full_eto,001,2010,71,2010-05-31,mid,1.0,0.75,7.04,7.04,7.04,7.04,1.0,1.0,163.1,6499.5,0.0
full_eto,001,2010,72,2010-06-01,mid,1.0,0.75,6.85,6.85,6.85,6.85,1.0,0.88,135.0,6634.5,0.0
full_eto,001,2010,73,2010-06-02,mid,1.0,0.75,6.99,6.99,6.99,6.99,1.0,1.0,156.9,6791.3,0.0
full_eto,001,2010,74,2010-06-03,mid,1.0,0.75,6.61,6.61,6.61,6.61,1.0,1.0,146.4,6937.7,0.0
full_eto,001,2010,75,2010-06-04,mid,1.0,0.75,7.11,7.11,7.11,7.11,1.0,1.0,159.2,7096.9,0.0
full_eto,001,2010,76,2010-06-05,mid,1.0,0.75,7.24,7.24,7.24,7.24,1.0,1.0,164.5,7261.4,0.0
full_eto,001,2010,77,2010-06-06,mid,1.0,0.75,8.01,8.01,8.01,8.01,1.0,0.897,142.7,7404.1,0.0
full_eto,001,2010,78,2010-06-07,mid,1.0,0.75,7.01,7.01,7.01,7.01,1.0,0.706,111.8,7515.9,0.0
full_eto,001,2010,79,2010-06-08,mid,1.0,0.75,7.2,7.2,7.2,7.2,1.0,1.0,154.4,7670.3,0.0
full_eto,001,2010,80,2010-06-09,mid,1.0,0.75,7.21,7.21,7.21,7.21,1.0,1.0,166.2,7836.5,0.0
full_eto,001,2010,81,2010-06-10,mid,1.0,0.75,7.38,7.38,7.38,7.38,1.0,1.0,166.8,8003.3,0.0
full_eto,001,2010,82,2010-06-11,mid,1.0,0.75,6.72,6.72,6.72,6.72,1.0,1.0,153.0,8156.3,0.0
full_eto,001,2010,83,2010-06-12,mid,1.0,0.75,6.68,6.68,6.68,6.68,1.0,1.0,158.0,8314.3,0.0
full_eto,001,2010,84,2010-06-13,mid,1.0,0.75,6.9,6.9,6.9,6.9,1.0,1.0,162.7,8477.0,0.0
full_eto,001,2010,85,2010-06-14,mid,1.0,0.75,7.17,7.17,7.17,7.17,1.0,1.0,160.6,8637.6,38630.0
full_eto,001,2011,1,2011-03-22,initial,0.6,0.1,4.71,2.83,2.83,2.83,1.0,0.855,15.4,15.4,0.0
full_eto,001,2011,2,2011-03-23,initial,0.6,0.106,4.51,2.71,2.71,2.71,1.0,0.648,12.6,28.0,0.0
full_eto,001,2011,3,2011-03-24,initial,0.6,0.112,4.22,2.53,2.53,2.53,1.0,0.55,11.1,39.1,0.0
full_eto,001,2011,4,2011-03-25,initial,0.6,0.118,3.93,2.36,2.36,2.39,1.0,0.398,6.9,46.0,0.0
full_eto,001,2011,5,2011-03-26,initial,0.6,0.124,4.43,2.66,2.66,2.66,1.0,0.53,12.4,58.4,0.0
full_eto,001,2011,6,2011-03-27,initial,0.6,0.13,4.93,2.96,2.96,2.96,1.0,0.718,17.8,76.2,0.0
full_eto,001,2011,7,2011-03-28,initial,0.6,0.136,5.36,3.22,3.22,3.22,1.0,0.795,20.1,96.3,0.0
full_eto,001,2011,8,2011-03-29,initial,0.6,0.141,5.31,3.18,3.18,3.18,1.0,0.867,23.6,119.9,0.0
full_eto,001,2011,9,2011-03-30,initial,0.6,0.147,5.5,3.3,3.3,3.3,1.0,0.909,25.4,145.3,0.0
full_eto,001,2011,10,2011-03-31,initial,0.6,0.153,5.21,3.13,3.13,3.13,1.0,1.0,28.7,174.0,0.0
full_eto,001,2011,11,2011-04-01,initial,0.6,0.159,5.14,3.09,3.09,3.09,1.0,1.0,28.7,202.7,0.0
full_eto,001,2011,12,2011-04-02,initial,0.6,0.165,5.23,3.14,3.14,3.14,1.0,1.0,26.2,229.0,0.0
full_eto,001,2011,13,2011-04-03,initial,0.6,0.171,5.01,3.0,3.0,3.0,1.0,0.977,29.4,258.4,0.0
full_eto,001,2011,14,2011-04-04,initial,0.6,0.177,4.45,2.67,2.67,2.68,1.0,0.741,23.6,282.0,0.0
full_eto,001,2011,15,2011-04-05,initial,0.6,0.183,4.41,2.64,2.64,2.64,1.0,0.685,22.3,304.3,0.0
full_eto,001,2011,16,2011-04-06,initial,0.6,0.189,4.54,2.73,2.73,2.73,1.0,0.699,25.4,329.7,0.0
full_eto,001,2011,17,2011-04-07,initial,0.6,0.195,4.55,2.73,2.73,2.73,1.0,0.812,29.3,359.0,0.0
full_eto,001,2011,18,2011-04-08,initial,0.6,0.201,4.79,2.87,2.87,2.87,1.0,1.0,35.3,394.4,0.0
full_eto,001,2011,19,2011-04-09,initial,0.6,0.207,4.96,2.98,2.98,2.99,1.0,0.875,34.2,428.5,0.0
full_eto,001,2011,20,2011-04-10,initial,0.6,0.212,4.99,2.99,2.99,2.99,1.0,0.872,36.0,464.5,0.0
full_eto,001,2011,21,2011-04-11,development,0.6,0.212,5.22,3.13,3.13,3.13,1.0,1.0,42.1,506.6,0.0
full_eto,001,2011,22,2011-04-12,development,0.614,0.231,5.34,3.28,3.28,3.28,1.0,0.948,42.5,549.2,0.0
full_eto,001,2011,23,2011-04-13,development,0.628,0.25,5.12,3.21,3.21,3.21,1.0,0.73,37.2,586.3,0.0
full_eto,001,2011,24,2011-04-14,development,0.641,0.268,5.59,3.59,3.59,3.59,1.0,0.924,50.3,636.6,0.0
full_eto,001,2011,25,2011-04-15,development,0.655,0.287,6.08,3.98,3.98,3.98,1.0,1.0,58.5,695.1,0.0
full_eto,001,2011,26,2011-04-16,development,0.669,0.305,5.79,3.87,3.87,3.87,1.0,1.0,51.7,746.8,0.0
full_eto,001,2011,27,2011-04-17,development,0.683,0.324,5.68,3.88,3.88,3.88,1.0,1.0,57.5,804.3,0.0
full_eto,001,2011,28,2011-04-18,development,0.697,0.342,5.66,3.94,3.94,3.94,1.0,1.0,60.9,865.2,0.0
full_eto,001,2011,29,2011-04-19,development,0.71,0.361,5.32,3.78,3.78,3.78,1.0,1.0,56.9,922.1,0.0
full_eto,001,2011,30,2011-04-20,development,0.724,0.379,5.36,3.88,3.88,3.88,1.0,0.963,73.0,995.1,0.0
full_eto,001,2011,31,2011-04-21,development,0.738,0.398,4.81,3.55,3.55,3.55,1.0,0.865,62.0,1057.1,0.0
full_eto,001,2011,32,2011-04-22,development,0.752,0.416,5.25,3.95,3.95,3.95,1.0,0.934,80.4,1137.5,0.0
full_eto,001,2011,33,2011-04-23,development,0.766,0.435,5.16,3.95,3.95,3.95,1.0,0.944,85.8,1223.3,0.0
full_eto,001,2011,34,2011-04-24,development,0.779,0.453,5.86,4.57,4.57,4.57,1.0,1.0,94.3,1317.5,0.0
full_eto,001,2011,35,2011-04-25,development,0.793,0.472,5.78,4.58,4.58,4.58,1.0,0.953,96.3,1413.9,0.0
full_eto,001,2011,36,2011-04-26,development,0.807,0.491,5.78,4.66,4.66,4.66,1.0,0.992,102.8,1516.6,0.0
full_eto,001,2011,37,2011-04-27,development,0.821,0.509,5.08,4.17,4.17,4.17,1.0,1.0,86.4,1603.1,0.0
full_eto,001,2011,38,2011-04-28,development,0.834,0.528,4.92,4.11,4.11,4.11,1.0,1.0,71.7,1674.7,0.0
full_eto,001,2011,39,2011-04-29,development,0.848,0.546,5.64,4.79,4.79,4.79,1.0,1.0,104.6,1779.3,0.0
full_eto,001,2011,40,2011-04-30,development,0.862,0.565,5.3,4.57,4.57,4.57,1.0,1.0,106.3,1885.6,0.0
full_eto,001,2011,41,2011-05-01,development,0.876,0.583,5.9,5.17,5.17,5.17,1.0,1.0,122.7,2008.3,0.0
full_eto,001,2011,42,2011-05-02,development,0.89,0.602,5.8,5.16,5.16,5.16,1.0,1.0,120.7,2129.1,0.0
full_eto,001,2011,43,2011-05-03,development,0.903,0.62,6.42,5.8,5.8,5.8,1.0,1.0,127.8,2256.9,0.0
full_eto,001,2011,44,2011-05-04,development,0.917,0.639,5.65,5.18,5.18,5.18,1.0,1.0,110.6,2367.5,0.0
full_eto,001,2011,45,2011-05-05,development,0.931,0.657,5.41,5.03,5.03,5.03,1.0,1.0,88.9,2456.4,0.0
full_eto,001,2011,46,2011-05-06,development,0.945,0.676,5.07,4.79,4.79,4.79,1.0,1.0,103.2,2559.6,0.0
full_eto,001,2011,47,2011-05-07,development,0.959,0.694,6.16,5.91,5.91,5.91,1.0,1.0,151.2,2710.8,0.0
full_eto,001,2011,48,2011-05-08,development,0.972,0.713,5.6,5.44,5.44,5.44,1.0,1.0,153.2,2864.0,0.0
full_eto,001,2011,49,2011-05-09,development,0.986,0.731,6.11,6.03,6.03,6.03,1.0,1.0,159.8,3023.8,0.0
full_eto,001,2011,50,2011-05-10,development,1.0,0.75,6.08,6.08,6.08,6.08,1.0,1.0,162.7,3186.5,0.0
full_eto,001,2011,51,2011-05-11,mid,1.0,0.75,6.27,6.27,6.27,6.27,1.0,1.0,161.5,3348.1,0.0
full_eto,001,2011,52,2011-05-12,mid,1.0,0.75,5.47,5.47,5.47,5.47,1.0,1.0,128.7,3476.8,0.0
full_eto,001,2011,53,2011-05-13,mid,1.0,0.75,6.31,6.31,6.31,6.31,1.0,1.0,163.7,3640.4,0.0
full_eto,001,2011,54,2011-05-14,mid,1.0,0.75,5.45,5.45,5.45,5.45,1.0,0.945,153.7,3794.1,0.0
full_eto,001,2011,55,2011-05-15,mid,1.0,0.75,5.61,5.61,5.61,5.61,1.0,0.945,152.9,3947.0,0.0
full_eto,001,2011,56,2011-05-16,mid,1.0,0.75,6.45,6.45,6.45,6.45,1.0,1.0,160.0,4107.0,0.0
full_eto,001,2011,57,2011-05-17,mid,1.0,0.75,5.91,5.91,5.91,5.91,1.0,1.0,153.4,4260.4,0.0
full_eto,001,2011,58,2011-05-18,mid,1.0,0.75,6.23,6.23,6.23,6.23,1.0,1.0,161.5,4422.0,0.0
full_eto,001,2011,59,2011-05-19,mid,1.0,0.75,6.73,6.73,6.73,6.73,1.0,1.0,164.1,4586.0,0.0
full_eto,001,2011,60,2011-05-20,mid,1.0,0.75,7.29,7.29,7.29,7.29,1.0,1.0,161.5,4747.6,0.0
full_eto,001,2011,61,2011-05-21,mid,1.0,0.75,7.22,7.22,7.22,7.22,1.0,1.0,154.7,4902.3,0.0
full_eto,001,2011,62,2011-05-22,mid,1.0,0.75,6.97,6.97,6.97,6.97,1.0,1.0,153.2,5055.5,0.0
full_eto,001,2011,63,2011-05-23,mid,1.0,0.75,7.05,7.05,7.05,7.05,1.0,1.0,160.6,5216.1,0.0
full_eto,001,2011,64,2011-05-24,mid,1.0,0.75,7.52,7.52,7.52,7.52,1.0,1.0,160.8,5376.9,0.0
full_eto,001,2011,65,2011-05-25,mid,1.0,0.75,7.71,7.71,7.71,7.71,1.0,1.0,159.4,5536.3,0.0
full_eto,001,2011,66,2011-05-26,mid,1.0,0.75,7.69,7.69,7.69,7.69,1.0,1.0,159.8,5696.1,0.0
full_eto,001,2011,67,2011-05-27,mid,1.0,0.75,7.0,7.0,7.0,7.0,1.0,0.976,144.3,5840.4,0.0
full_eto,001,2011,68,2011-05-28,mid,1.0,0.75,5.74,5.74,5.74,5.74,1.0,1.0,112.4,5952.8,0.0
full_eto,001,2011,69,2011-05-29,mid,1.0,0.75,6.35,6.35,6.35,6.35,1.0,1.0,160.0,6112.8,0.0
full_eto,001,2011,70,2011-05-30,mid,1.0,0.75,6.48,6.48,6.48,6.48,1.0,1.0,162.5,6275.3,0.0
full_eto,001,2011,71,2011-05-31,mid,1.0,0.75,6.87,6.87,6.87,6.87,1.0,1.0,163.7,6439.0,0.0
full_eto,001,2011,72,2011-06-01,mid,1.0,0.75,7.37,7.37,7.37,7.37,1.0,1.0,166.8,6605.7,0.0
full_eto,001,2011,73,2011-06-02,mid,1.0,0.75,6.92,6.92,6.92,6.92,1.0,1.0,168.0,6773.7,0.0
full_eto,001,2011,74,2011-06-03,mid,1.0,0.75,7.19,7.19,7.19,7.19,1.0,1.0,168.9,6942.6,0.0
full_eto,001,2011,75,2011-06-04,mid,1.0,0.75,7.48,7.48,7.48,7.48,1.0,1.0,165.0,7107.7,0.0
full_eto,001,2011,76,2011-06-05,mid,1.0,0.75,7.88,7.88,7.88,7.88,1.0,1.0,164.9,7272.5,0.0
full_eto,001,2011,77,2011-06-06,mid,1.0,0.75,7.09,7.09,7.09,7.09,1.0,1.0,164.3,7436.8,0.0
full_eto,001,2011,78,2011-06-07,mid,1.0,0.75,7.22,7.22,7.22,7.22,1.0,1.0,162.7,7599.5,0.0
full_eto,001,2011,79,2011-06-08,mid,1.0,0.75,7.63,7.63,7.63,7.63,1.0,1.0,166.6,7766.1,0.0
full_eto,001,2011,80,2011-06-09,mid,1.0,0.75,8.16,8.16,8.16,8.16,1.0,1.0,166.0,7932.1,0.0
full_eto,001,2011,81,2011-06-10,mid,1.0,0.75,8.31,8.31,8.31,8.31,1.0,0.869,141.7,8073.8,0.0
full_eto,001,2011,82,2011-06-11,mid,1.0,0.75,7.31,7.31,7.31,7.31,1.0,1.0,161.7,8235.6,0.0
full_eto,001,2011,83,2011-06-12,mid,1.0,0.75,7.42,7.42,7.42,7.42,1.0,1.0,167.0,8402.6,0.0
full_eto,001,2011,84,2011-06-13,mid,1.0,0.75,7.01,7.01,7.01,7.01,1.0,1.0,164.9,8567.4,0.0
full_eto,001,2011,85,2011-06-14,mid,1.0,0.75,6.46,6.46,6.46,6.46,1.0,1.0,158.6,8726.0,37610.0
full_eto,001,2012,1,2012-03-22,initial,0.6,0.1,4.74,2.85,2.85,2.85,1.0,0.741,11.9,11.9,0.0
full_eto,001,2012,2,2012-03-23,initial,0.6,0.106,5.0,3.0,3.0,3.0,1.0,0.708,13.0,24.9,0.0
full_eto,001,2012,3,2012-03-24,initial,0.6,0.112,4.61,2.77,2.77,2.77,1.0,0.818,14.3,39.2,0.0
full_eto,001,2012,4,2012-03-25,initial,0.6,0.118,4.65,2.79,2.79,2.79,1.0,0.768,15.3,54.5,0.0
full_eto,001,2012,5,2012-03-26,initial,0.6,0.124,4.79,2.87,2.87,2.87,1.0,0.65,14.5,69.0,0.0
full_eto,001,2012,6,2012-03-27,initial,0.6,0.13,4.64,2.78,2.78,2.78,1.0,0.609,14.7,83.7,0.0
full_eto,001,2012,7,2012-03-28,initial,0.6,0.136,4.36,2.62,2.62,2.62,1.0,0.568,14.1,97.8,0.0
full_eto,001,2012,8,2012-03-29,initial,0.6,0.141,4.38,2.63,2.63,2.63,1.0,0.6,14.8,112.6,0.0
full_eto,001,2012,9,2012-03-30,initial,0.6,0.147,4.37,2.62,2.62,2.62,1.0,0.72,19.7,132.3,0.0
full_eto,001,2012,10,2012-03-31,initial,0.6,0.153,3.83,2.3,2.3,2.3,1.0,0.796,18.6,150.9,0.0
full_eto,001,2012,11,2012-04-01,initial,0.6,0.159,4.82,2.89,2.89,2.89,1.0,0.977,27.2,178.1,0.0
full_eto,001,2012,12,2012-04-02,initial,0.6,0.165,5.14,3.09,3.09,3.09,1.0,0.913,26.6,204.7,0.0
full_eto,001,2012,13,2012-04-03,initial,0.6,0.171,4.77,2.86,2.86,2.86,1.0,0.881,26.3,231.0,0.0
full_eto,001,2012,14,2012-04-04,initial,0.6,0.177,5.61,3.37,3.37,3.37,1.0,1.0,33.0,263.9,0.0
full_eto,001,2012,15,2012-04-05,initial,0.6,0.183,5.44,3.26,3.26,3.26,1.0,1.0,30.3,294.2,0.0
full_eto,001,2012,16,2012-04-06,initial,0.6,0.189,6.69,4.02,4.02,4.02,1.0,1.0,36.3,330.6,0.0
full_eto,001,2012,17,2012-04-07,initial,0.6,0.195,6.03,3.62,3.62,3.62,1.0,1.0,37.1,367.7,0.0
full_eto,001,2012,18,2012-04-08,initial,0.6,0.201,5.68,3.41,3.41,3.41,1.0,1.0,37.1,404.8,0.0
full_eto,001,2012,19,2012-04-09,initial,0.6,0.207,5.13,3.08,3.08,3.08,1.0,1.0,33.7,438.5,0.0
full_eto,001,2012,20,2012-04-10,initial,0.6,0.212,5.51,3.31,3.31,3.31,1.0,1.0,36.1,474.5,0.0
full_eto,001,2012,21,2012-04-11,development,0.6,0.212,5.13,3.08,3.08,3.08,1.0,0.9,37.5,512.0,0.0
full_eto,001,2012,22,2012-04-12,development,0.614,0.231,4.88,2.99,2.99,2.99,1.0,0.862,34.9,546.9,0.0
full_eto,001,2012,23,2012-04-13,development,0.628,0.25,5.49,3.44,3.44,3.44,1.0,1.0,42.6,589.5,0.0
full_eto,001,2012,24,2012-04-14,development,0.641,0.268,4.76,3.05,3.05,3.05,1.0,1.0,43.6,633.1,0.0
full_eto,001,2012,25,2012-04-15,development,0.655,0.287,4.71,3.08,3.08,3.08,1.0,1.0,42.7,675.8,0.0
full_eto,001,2012,26,2012-04-16,development,0.669,0.305,5.95,3.98,3.98,3.98,1.0,1.0,62.0,737.8,0.0
