# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-06
# DESCRIPTION: Daily crop growth lookup for onion planted 11-21
#   under underpv_medium (fall-winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10705
# CROP: onion
# PLANTING_DATE: 11-21
# CONDITION: underpv_medium
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-21,initial,0.7,0.1,2.7,1.57,1.57,1.57,1.0,1.0,4.5,4.5,0.0
full_eto,001,2010,2,2010-11-22,initial,0.7,0.105,2.76,1.61,1.61,1.61,1.0,1.0,4.7,9.2,0.0
full_eto,001,2010,3,2010-11-23,initial,0.7,0.109,2.3,1.34,1.34,1.34,1.0,1.0,4.9,14.1,0.0
full_eto,001,2010,4,2010-11-24,initial,0.7,0.114,2.12,1.23,1.23,1.23,1.0,1.0,4.4,18.5,0.0
full_eto,001,2010,5,2010-11-25,initial,0.7,0.119,2.37,1.37,1.37,1.37,1.0,1.0,5.0,23.5,0.0
full_eto,001,2010,6,2010-11-26,initial,0.7,0.124,2.42,1.4,1.4,1.4,1.0,1.0,5.2,28.7,0.0
full_eto,001,2010,7,2010-11-27,initial,0.7,0.128,2.54,1.47,1.47,1.47,1.0,1.0,5.4,34.1,0.0
full_eto,001,2010,8,2010-11-28,initial,0.7,0.133,2.17,1.26,1.26,1.26,1.0,1.0,5.7,39.8,0.0
full_eto,001,2010,9,2010-11-29,initial,0.7,0.138,2.3,1.33,1.33,1.33,1.0,1.0,6.1,45.9,0.0
full_eto,001,2010,10,2010-11-30,initial,0.7,0.143,2.02,1.17,1.17,1.17,1.0,1.0,6.5,52.4,0.0
full_eto,001,2010,11,2010-12-01,initial,0.7,0.147,2.18,1.27,1.27,1.27,1.0,1.0,6.7,59.1,0.0
full_eto,001,2010,12,2010-12-02,initial,0.7,0.152,2.28,1.32,1.32,1.32,1.0,1.0,7.0,66.1,0.0
full_eto,001,2010,13,2010-12-03,initial,0.7,0.157,2.14,1.24,1.24,1.24,1.0,1.0,6.8,72.9,0.0
full_eto,001,2010,14,2010-12-04,initial,0.7,0.162,2.18,1.26,1.26,1.26,1.0,1.0,7.0,79.9,0.0
full_eto,001,2010,15,2010-12-05,initial,0.7,0.166,2.18,1.26,1.26,1.26,1.0,1.0,7.2,87.1,0.0
full_eto,001,2010,16,2010-12-06,initial,0.7,0.171,2.89,1.69,1.69,1.69,1.0,1.0,7.3,94.4,0.0
full_eto,001,2010,17,2010-12-07,initial,0.7,0.176,2.32,1.36,1.36,1.36,1.0,1.0,7.6,102.0,0.0
full_eto,001,2010,18,2010-12-08,initial,0.7,0.181,1.98,1.16,1.16,1.16,1.0,1.0,7.1,109.1,0.0
full_eto,001,2010,19,2010-12-09,initial,0.7,0.185,2.44,1.42,1.42,1.42,1.0,1.0,7.2,116.3,0.0
full_eto,001,2010,20,2010-12-10,initial,0.7,0.19,2.28,1.34,1.34,1.36,1.0,1.0,7.8,124.1,0.0
full_eto,001,2010,21,2010-12-11,development,0.7,0.19,2.64,1.54,1.54,1.58,1.0,1.0,6.0,130.1,0.0
full_eto,001,2010,22,2010-12-12,development,0.712,0.204,2.15,1.29,1.29,1.29,1.0,0.612,4.1,134.3,0.0
full_eto,001,2010,23,2010-12-13,development,0.724,0.218,1.88,1.15,1.15,1.15,1.0,0.545,4.5,138.7,0.0
full_eto,001,2010,24,2010-12-14,development,0.736,0.232,1.18,0.73,0.73,0.73,1.0,0.756,6.8,145.5,0.0
full_eto,001,2010,25,2010-12-15,development,0.748,0.247,1.55,0.97,0.97,0.97,1.0,0.914,7.1,152.6,0.0
full_eto,001,2010,26,2010-12-16,development,0.76,0.261,1.62,1.02,1.02,1.02,1.0,1.0,10.6,163.3,0.0
full_eto,001,2010,27,2010-12-17,development,0.772,0.275,1.71,1.1,1.1,1.1,1.0,1.0,11.3,174.5,0.0
full_eto,001,2010,28,2010-12-18,development,0.784,0.289,2.26,1.49,1.49,1.49,1.0,0.927,10.8,185.3,0.0
full_eto,001,2010,29,2010-12-19,development,0.797,0.303,2.26,1.51,1.51,1.51,1.0,0.78,9.8,195.1,0.0
full_eto,001,2010,30,2010-12-20,development,0.809,0.317,2.31,1.55,1.55,1.55,1.0,1.0,12.5,207.6,0.0
full_eto,001,2010,31,2010-12-21,development,0.821,0.331,2.16,1.48,1.48,1.48,1.0,1.0,12.9,220.5,0.0
full_eto,001,2010,32,2010-12-22,development,0.833,0.346,2.26,1.57,1.57,1.57,1.0,1.0,12.8,233.3,0.0
full_eto,001,2010,33,2010-12-23,development,0.845,0.36,2.86,2.01,2.01,2.01,1.0,1.0,13.1,246.4,0.0
full_eto,001,2010,34,2010-12-24,development,0.857,0.374,2.47,1.76,1.76,1.76,1.0,1.0,15.8,262.2,0.0
full_eto,001,2010,35,2010-12-25,development,0.869,0.388,2.01,1.45,1.45,1.45,1.0,1.0,16.6,278.8,0.0
full_eto,001,2010,36,2010-12-26,development,0.881,0.402,1.74,1.28,1.28,1.28,1.0,1.0,17.2,296.0,0.0
full_eto,001,2010,37,2010-12-27,development,0.893,0.416,2.21,1.64,1.64,1.64,1.0,1.0,17.6,313.6,0.0
full_eto,001,2010,38,2010-12-28,development,0.905,0.43,2.49,1.87,1.87,1.87,1.0,1.0,18.0,331.6,0.0
full_eto,001,2010,39,2010-12-29,development,0.917,0.444,2.39,1.82,1.82,2.0,1.0,1.0,6.6,338.2,0.0
full_eto,001,2010,40,2010-12-30,development,0.929,0.459,2.11,1.64,1.64,1.8,1.0,0.965,10.4,348.6,0.0
full_eto,001,2010,41,2010-12-31,development,0.941,0.473,2.08,1.65,1.65,1.71,1.0,0.814,14.2,362.8,0.0
full_eto,001,2010,42,2011-01-01,development,0.953,0.487,1.78,1.42,1.42,1.42,1.0,0.798,16.0,378.8,0.0
full_eto,001,2010,43,2011-01-02,development,0.966,0.501,1.52,1.22,1.22,1.22,1.0,0.915,18.6,397.4,0.0
full_eto,001,2010,44,2011-01-03,development,0.978,0.515,1.45,1.18,1.18,1.18,1.0,0.892,14.2,411.6,0.0
full_eto,001,2010,45,2011-01-04,development,0.99,0.529,2.22,1.84,1.84,1.84,1.0,0.802,17.8,429.4,0.0
full_eto,001,2010,46,2011-01-05,development,1.002,0.543,2.27,1.9,1.9,1.9,1.0,0.765,18.0,447.4,0.0
full_eto,001,2010,47,2011-01-06,development,1.014,0.558,2.3,1.95,1.95,1.95,1.0,0.811,19.5,466.9,0.0
full_eto,001,2010,48,2011-01-07,development,1.026,0.572,2.64,2.27,2.27,2.27,1.0,0.846,20.7,487.6,0.0
full_eto,001,2010,49,2011-01-08,development,1.038,0.586,2.38,2.08,2.08,2.08,1.0,0.667,17.3,504.9,0.0
full_eto,001,2010,50,2011-01-09,development,1.05,0.6,2.2,1.94,1.94,1.94,1.0,0.618,16.6,521.5,0.0
full_eto,001,2010,51,2011-01-10,mid,1.05,0.6,2.03,1.79,1.79,1.79,1.0,0.666,18.3,539.8,0.0
full_eto,001,2010,52,2011-01-11,mid,1.05,0.6,1.84,1.61,1.61,1.61,1.0,0.769,19.9,559.8,0.0
full_eto,001,2010,53,2011-01-12,mid,1.05,0.6,1.66,1.45,1.45,1.45,1.0,0.983,24.9,584.7,0.0
full_eto,001,2010,54,2011-01-13,mid,1.05,0.6,1.81,1.58,1.58,1.58,1.0,0.894,24.4,609.1,0.0
full_eto,001,2010,55,2011-01-14,mid,1.05,0.6,2.1,1.85,1.85,1.86,1.0,0.763,20.0,629.1,0.0
full_eto,001,2010,56,2011-01-15,mid,1.05,0.6,2.03,1.79,1.79,1.92,1.0,0.656,15.2,644.3,0.0
full_eto,001,2010,57,2011-01-16,mid,1.05,0.6,2.11,1.85,1.85,1.85,1.0,0.711,19.3,663.6,0.0
full_eto,001,2010,58,2011-01-17,mid,1.05,0.6,1.59,1.39,1.39,1.53,1.0,0.766,18.1,681.7,0.0
full_eto,001,2010,59,2011-01-18,mid,1.05,0.6,1.71,1.51,1.51,1.66,1.0,0.568,9.2,690.9,0.0
full_eto,001,2010,60,2011-01-19,mid,1.05,0.6,1.72,1.5,1.5,1.5,1.0,0.8,20.7,711.6,0.0
full_eto,001,2010,61,2011-01-20,mid,1.05,0.6,1.69,1.48,1.48,1.48,1.0,0.822,21.7,733.3,0.0
full_eto,001,2010,62,2011-01-21,mid,1.05,0.6,1.9,1.67,1.67,1.67,1.0,0.833,23.0,756.3,0.0
full_eto,001,2010,63,2011-01-22,mid,1.05,0.6,2.06,1.8,1.8,1.8,1.0,0.898,25.4,781.6,0.0
full_eto,001,2010,64,2011-01-23,mid,1.05,0.6,1.97,1.73,1.73,1.73,1.0,0.86,24.6,806.2,0.0
full_eto,001,2010,65,2011-01-24,mid,1.05,0.6,2.28,2.0,2.0,2.0,1.0,0.877,25.6,831.9,0.0
full_eto,001,2010,66,2011-01-25,mid,1.05,0.6,2.02,1.77,1.77,1.77,1.0,0.762,17.8,849.7,0.0
full_eto,001,2010,67,2011-01-26,mid,1.05,0.6,2.2,1.93,1.93,1.93,1.0,0.768,22.0,871.6,0.0
full_eto,001,2010,68,2011-01-27,mid,1.05,0.6,1.77,1.55,1.55,1.55,1.0,1.0,28.6,900.3,0.0
full_eto,001,2010,69,2011-01-28,mid,1.05,0.6,1.88,1.64,1.64,1.64,1.0,0.978,26.3,926.6,0.0
full_eto,001,2010,70,2011-01-29,mid,1.05,0.6,2.43,2.11,2.11,2.11,1.0,1.0,26.6,953.2,0.0
full_eto,001,2010,71,2011-01-30,mid,1.05,0.6,2.38,2.1,2.1,2.1,1.0,0.825,24.2,977.4,0.0
full_eto,001,2010,72,2011-01-31,mid,1.05,0.6,2.38,2.1,2.1,2.1,1.0,0.705,20.5,997.9,0.0
full_eto,001,2010,73,2011-02-01,mid,1.05,0.6,1.9,1.66,1.66,1.66,1.0,0.839,20.0,1018.0,0.0
full_eto,001,2010,74,2011-02-02,mid,1.05,0.6,2.34,2.06,2.06,2.06,1.0,0.808,24.2,1042.2,0.0
full_eto,001,2010,75,2011-02-03,mid,1.05,0.6,2.02,1.76,1.76,1.76,1.0,0.958,25.4,1067.6,0.0
full_eto,001,2010,76,2011-02-04,mid,1.05,0.6,2.18,1.9,1.9,1.9,1.0,1.0,24.9,1092.5,0.0
full_eto,001,2010,77,2011-02-05,mid,1.05,0.6,2.18,1.91,1.91,1.96,1.0,1.0,23.4,1115.9,0.0
full_eto,001,2010,78,2011-02-06,mid,1.05,0.6,1.81,1.57,1.57,1.59,1.0,1.0,22.6,1138.5,0.0
full_eto,001,2010,79,2011-02-07,mid,1.05,0.6,2.97,2.6,2.6,2.6,1.0,1.0,29.5,1168.0,0.0
full_eto,001,2010,80,2011-02-08,mid,1.05,0.6,2.74,2.41,2.41,2.42,1.0,0.844,24.4,1192.3,0.0
full_eto,001,2010,81,2011-02-09,mid,1.05,0.6,2.31,2.03,2.03,2.03,1.0,0.764,23.0,1215.3,0.0
full_eto,001,2010,82,2011-02-10,mid,1.05,0.6,2.11,1.86,1.86,1.86,1.0,0.725,16.2,1231.6,0.0
full_eto,001,2010,83,2011-02-11,mid,1.05,0.6,2.63,2.33,2.33,2.34,1.0,0.715,22.3,1253.8,0.0
full_eto,001,2010,84,2011-02-12,mid,1.05,0.6,2.29,2.02,2.02,2.02,1.0,0.683,23.0,1276.9,0.0
full_eto,001,2010,85,2011-02-13,mid,1.05,0.6,2.63,2.32,2.32,2.32,1.0,0.7,23.4,1300.2,0.0
full_eto,001,2010,86,2011-02-14,mid,1.05,0.6,2.54,2.23,2.23,2.23,1.0,0.739,25.2,1325.4,0.0
full_eto,001,2010,87,2011-02-15,mid,1.05,0.6,2.78,2.42,2.42,2.42,1.0,1.0,29.5,1354.9,0.0
full_eto,001,2010,88,2011-02-16,mid,1.05,0.6,2.8,2.47,2.47,2.47,1.0,0.825,23.2,1378.1,0.0
full_eto,001,2010,89,2011-02-17,mid,1.05,0.6,2.38,2.09,2.09,2.09,1.0,0.776,26.3,1404.4,0.0
full_eto,001,2010,90,2011-02-18,mid,1.05,0.6,2.06,1.8,1.8,1.8,1.0,0.992,34.9,1439.3,0.0
full_eto,001,2010,91,2011-02-19,mid,1.05,0.6,2.52,2.19,2.19,2.19,1.0,1.0,35.3,1474.6,0.0
full_eto,001,2010,92,2011-02-20,mid,1.05,0.6,2.88,2.54,2.54,2.54,1.0,0.86,26.4,1501.0,0.0
full_eto,001,2010,93,2011-02-21,mid,1.05,0.6,2.55,2.25,2.25,2.25,1.0,0.775,26.8,1527.8,0.0
full_eto,001,2010,94,2011-02-22,mid,1.05,0.6,2.29,2.0,2.0,2.0,1.0,0.966,34.1,1562.0,0.0
full_eto,001,2010,95,2011-02-23,mid,1.05,0.6,2.57,2.24,2.24,2.24,1.0,1.0,36.1,1598.0,0.0
full_eto,001,2010,96,2011-02-24,mid,1.05,0.6,2.29,1.99,1.99,1.99,1.0,1.0,30.9,1628.9,0.0
full_eto,001,2010,97,2011-02-25,mid,1.05,0.6,3.11,2.73,2.73,2.73,1.0,0.988,34.3,1663.2,0.0
full_eto,001,2010,98,2011-02-26,mid,1.05,0.6,2.77,2.44,2.44,2.44,1.0,0.738,25.3,1688.5,0.0
full_eto,001,2010,99,2011-02-27,mid,1.05,0.6,2.8,2.46,2.46,2.46,1.0,0.835,30.5,1719.1,0.0
full_eto,001,2010,100,2011-02-28,mid,1.05,0.6,2.93,2.58,2.58,2.58,1.0,0.858,31.8,1750.9,0.0
full_eto,001,2010,101,2011-03-01,mid,1.05,0.6,2.68,2.35,2.35,2.35,1.0,1.0,37.0,1787.8,0.0
full_eto,001,2010,102,2011-03-02,mid,1.05,0.6,2.99,2.61,2.61,2.61,1.0,1.0,36.6,1824.4,0.0
full_eto,001,2010,103,2011-03-03,mid,1.05,0.6,3.38,2.95,2.95,2.95,1.0,1.0,38.2,1862.6,0.0
full_eto,001,2010,104,2011-03-04,mid,1.05,0.6,3.49,3.05,3.05,3.05,1.0,1.0,38.8,1901.4,0.0
full_eto,001,2010,105,2011-03-05,mid,1.05,0.6,3.46,3.02,3.02,3.02,1.0,1.0,38.8,1940.2,0.0
full_eto,001,2010,106,2011-03-06,mid,1.05,0.6,2.55,2.21,2.21,2.21,1.0,1.0,38.1,1978.3,0.0
full_eto,001,2010,107,2011-03-07,mid,1.05,0.6,2.99,2.62,2.62,2.62,1.0,1.0,37.0,2015.3,0.0
full_eto,001,2010,108,2011-03-08,mid,1.05,0.6,2.86,2.52,2.52,2.52,1.0,0.89,35.4,2050.7,0.0
full_eto,001,2010,109,2011-03-09,mid,1.05,0.6,3.13,2.76,2.76,2.76,1.0,0.856,32.6,2083.3,0.0
full_eto,001,2010,110,2011-03-10,mid,1.05,0.6,2.42,2.15,2.15,2.15,1.0,0.519,19.6,2102.9,0.0
full_eto,001,2010,111,2011-03-11,mid,1.05,0.6,2.54,2.25,2.25,2.26,1.0,0.473,19.0,2121.8,0.0
full_eto,001,2010,112,2011-03-12,mid,1.05,0.6,3.03,2.68,2.68,2.69,1.0,0.672,25.4,2147.2,0.0
full_eto,001,2010,113,2011-03-13,mid,1.05,0.6,2.95,2.59,2.59,2.59,1.0,0.79,31.6,2178.9,0.0
full_eto,001,2010,114,2011-03-14,mid,1.05,0.6,2.92,2.56,2.56,2.56,1.0,0.908,38.6,2217.5,0.0
full_eto,001,2010,115,2011-03-15,mid,1.05,0.6,3.15,2.75,2.75,2.75,1.0,1.0,43.8,2261.3,0.0
full_eto,001,2010,116,2011-03-16,mid,1.05,0.6,3.09,2.7,2.7,2.7,1.0,1.0,43.5,2304.8,0.0
full_eto,001,2010,117,2011-03-17,mid,1.05,0.6,2.97,2.59,2.59,2.59,1.0,1.0,42.6,2347.4,0.0
full_eto,001,2010,118,2011-03-18,mid,1.05,0.6,3.02,2.63,2.63,2.63,1.0,1.0,42.4,2389.8,0.0
full_eto,001,2010,119,2011-03-19,mid,1.05,0.6,2.6,2.26,2.26,2.26,1.0,1.0,41.2,2431.0,0.0
full_eto,001,2010,120,2011-03-20,mid,1.05,0.6,2.85,2.47,2.47,2.47,1.0,1.0,38.8,2469.8,0.0
full_eto,001,2010,121,2011-03-21,late,1.05,0.6,3.18,2.77,2.77,2.77,1.0,1.0,36.8,2506.6,0.0
full_eto,001,2010,122,2011-03-22,late,1.04,0.596,3.42,2.98,2.98,2.98,1.0,1.0,42.9,2549.5,0.0
full_eto,001,2010,123,2011-03-23,late,1.029,0.592,3.22,2.78,2.78,2.78,1.0,0.907,39.4,2588.9,0.0
full_eto,001,2010,124,2011-03-24,late,1.019,0.588,3.06,2.62,2.62,2.62,1.0,0.818,34.8,2623.7,0.0
full_eto,001,2010,125,2011-03-25,late,1.009,0.583,2.95,2.51,2.51,2.54,1.0,0.68,23.2,2646.9,0.0
full_eto,001,2010,126,2011-03-26,late,0.998,0.579,2.97,2.48,2.48,2.48,1.0,0.8,35.1,2682.0,0.0
full_eto,001,2010,127,2011-03-27,late,0.988,0.575,3.39,2.79,2.79,2.79,1.0,0.971,42.7,2724.7,0.0
full_eto,001,2010,128,2011-03-28,late,0.978,0.571,3.93,3.22,3.22,3.22,1.0,1.0,42.6,2767.4,0.0
full_eto,001,2010,129,2011-03-29,late,0.967,0.567,3.67,2.96,2.96,2.96,1.0,1.0,43.6,2811.0,0.0
full_eto,001,2010,130,2011-03-30,late,0.957,0.563,3.87,3.09,3.09,3.09,1.0,1.0,42.7,2853.7,0.0
full_eto,001,2010,131,2011-03-31,late,0.947,0.559,3.49,2.74,2.74,2.74,1.0,1.0,41.9,2895.6,0.0
full_eto,001,2010,132,2011-04-01,late,0.936,0.554,3.19,2.47,2.47,2.47,1.0,1.0,40.0,2935.6,0.0
full_eto,001,2010,133,2011-04-02,late,0.926,0.55,3.79,2.92,2.92,2.92,1.0,1.0,34.9,2970.5,0.0
full_eto,001,2010,134,2011-04-03,late,0.916,0.546,3.54,2.7,2.7,2.7,1.0,1.0,38.5,3009.1,0.0
full_eto,001,2010,135,2011-04-04,late,0.905,0.542,3.14,2.38,2.38,2.39,1.0,0.992,38.8,3047.8,0.0
full_eto,001,2010,136,2011-04-05,late,0.895,0.538,3.04,2.28,2.28,2.28,1.0,0.941,36.1,3084.0,0.0
full_eto,001,2010,137,2011-04-06,late,0.884,0.534,3.04,2.25,2.25,2.25,1.0,0.954,39.2,3123.1,0.0
full_eto,001,2010,138,2011-04-07,late,0.874,0.53,2.9,2.11,2.11,2.11,1.0,1.0,39.3,3162.5,0.0
full_eto,001,2010,139,2011-04-08,late,0.864,0.526,3.08,2.2,2.2,2.2,1.0,1.0,37.1,3199.5,0.0
full_eto,001,2010,140,2011-04-09,late,0.853,0.521,3.42,2.44,2.44,2.45,1.0,1.0,39.4,3238.9,0.0
full_eto,001,2010,141,2011-04-10,late,0.843,0.517,3.27,2.29,2.29,2.29,1.0,1.0,40.2,3279.1,0.0
full_eto,001,2010,142,2011-04-11,late,0.833,0.513,3.37,2.33,2.33,2.33,1.0,1.0,40.6,3319.7,0.0
full_eto,001,2010,143,2011-04-12,late,0.822,0.509,3.74,2.57,2.57,2.57,1.0,1.0,39.5,3359.2,0.0
full_eto,001,2010,144,2011-04-13,late,0.812,0.505,3.52,2.39,2.39,2.39,1.0,0.981,40.5,3399.7,0.0
full_eto,001,2010,145,2011-04-14,late,0.802,0.501,3.85,2.57,2.57,2.57,1.0,1.0,40.7,3440.4,0.0
full_eto,001,2010,146,2011-04-15,late,0.791,0.497,4.11,2.69,2.69,2.69,1.0,1.0,40.6,3480.9,0.0
full_eto,001,2010,147,2011-04-16,late,0.781,0.492,3.91,2.52,2.52,2.52,1.0,1.0,33.4,3514.3,0.0
full_eto,001,2010,148,2011-04-17,late,0.771,0.488,3.67,2.33,2.33,2.33,1.0,1.0,34.6,3548.9,0.0
full_eto,001,2010,149,2011-04-18,late,0.76,0.484,3.63,2.28,2.28,2.28,1.0,1.0,34.4,3583.4,0.0
full_eto,001,2010,150,2011-04-19,late,0.75,0.48,3.76,2.34,2.34,2.34,1.0,1.0,30.3,3613.6,36233.0
full_eto,001,2011,1,2011-11-21,initial,0.7,0.1,2.58,1.51,1.51,1.51,1.0,0.812,3.8,3.8,0.0
full_eto,001,2011,2,2011-11-22,initial,0.7,0.105,2.46,1.43,1.43,1.43,1.0,0.977,4.8,8.6,0.0
full_eto,001,2011,3,2011-11-23,initial,0.7,0.109,2.2,1.28,1.28,1.28,1.0,1.0,5.0,13.6,0.0
full_eto,001,2011,4,2011-11-24,initial,0.7,0.114,2.52,1.47,1.47,1.47,1.0,0.946,4.9,18.5,0.0
full_eto,001,2011,5,2011-11-25,initial,0.7,0.119,2.7,1.58,1.58,1.58,1.0,0.993,4.8,23.2,0.0
full_eto,001,2011,6,2011-11-26,initial,0.7,0.124,2.49,1.46,1.46,1.46,1.0,0.895,5.0,28.2,0.0
full_eto,001,2011,7,2011-11-27,initial,0.7,0.128,2.53,1.49,1.49,1.49,1.0,0.802,4.6,32.8,0.0
full_eto,001,2011,8,2011-11-28,initial,0.7,0.133,2.55,1.49,1.49,1.51,1.0,0.876,5.0,37.8,0.0
full_eto,001,2011,9,2011-11-29,initial,0.7,0.138,2.11,1.23,1.23,1.23,1.0,0.82,5.0,42.8,0.0
full_eto,001,2011,10,2011-11-30,initial,0.7,0.143,1.72,1.01,1.01,1.01,1.0,0.903,5.5,48.3,0.0
full_eto,001,2011,11,2011-12-01,initial,0.7,0.147,1.93,1.13,1.13,1.13,1.0,0.918,5.9,54.2,0.0
full_eto,001,2011,12,2011-12-02,initial,0.7,0.152,2.16,1.26,1.26,1.26,1.0,0.967,6.3,60.5,0.0
full_eto,001,2011,13,2011-12-03,initial,0.7,0.157,2.24,1.31,1.31,1.31,1.0,0.98,6.6,67.2,0.0
full_eto,001,2011,14,2011-12-04,initial,0.7,0.162,2.12,1.23,1.23,1.23,1.0,1.0,7.1,74.3,0.0
full_eto,001,2011,15,2011-12-05,initial,0.7,0.166,2.24,1.31,1.31,1.31,1.0,0.981,7.1,81.4,0.0
full_eto,001,2011,16,2011-12-06,initial,0.7,0.171,2.64,1.54,1.54,1.54,1.0,0.967,7.2,88.6,0.0
full_eto,001,2011,17,2011-12-07,initial,0.7,0.176,2.19,1.28,1.28,1.28,1.0,0.857,6.1,94.7,0.0
full_eto,001,2011,18,2011-12-08,initial,0.7,0.181,2.66,1.56,1.56,1.56,1.0,0.87,6.7,101.4,0.0
full_eto,001,2011,19,2011-12-09,initial,0.7,0.185,2.4,1.41,1.41,1.41,1.0,0.792,6.5,107.8,0.0
full_eto,001,2011,20,2011-12-10,initial,0.7,0.19,2.51,1.47,1.47,1.47,1.0,0.77,6.5,114.3,0.0
full_eto,001,2011,21,2011-12-11,development,0.7,0.19,2.22,1.3,1.3,1.3,1.0,0.868,7.3,121.5,0.0
full_eto,001,2011,22,2011-12-12,development,0.712,0.204,2.34,1.39,1.39,1.39,1.0,0.918,7.8,129.4,0.0
full_eto,001,2011,23,2011-12-13,development,0.724,0.218,2.09,1.26,1.26,1.26,1.0,0.925,8.4,137.8,0.0
full_eto,001,2011,24,2011-12-14,development,0.736,0.232,1.92,1.18,1.18,1.18,1.0,0.985,6.8,144.6,0.0
full_eto,001,2011,25,2011-12-15,development,0.748,0.247,2.86,1.79,1.79,1.79,1.0,0.865,8.8,153.4,0.0
full_eto,001,2011,26,2011-12-16,development,0.76,0.261,1.98,1.26,1.26,1.26,1.0,0.707,7.3,160.7,0.0
full_eto,001,2011,27,2011-12-17,development,0.772,0.275,1.89,1.22,1.22,1.22,1.0,0.865,10.1,170.8,0.0
full_eto,001,2011,28,2011-12-18,development,0.784,0.289,1.82,1.19,1.19,1.19,1.0,0.976,11.0,181.8,0.0
full_eto,001,2011,29,2011-12-19,development,0.797,0.303,1.98,1.31,1.31,1.31,1.0,1.0,11.6,193.4,0.0
full_eto,001,2011,30,2011-12-20,development,0.809,0.317,1.62,1.09,1.09,1.09,1.0,1.0,12.2,205.6,0.0
full_eto,001,2011,31,2011-12-21,development,0.821,0.331,1.81,1.24,1.24,1.24,1.0,0.938,8.6,214.2,0.0
full_eto,001,2011,32,2011-12-22,development,0.833,0.346,2.35,1.64,1.64,1.64,1.0,0.897,12.5,226.7,0.0
full_eto,001,2011,33,2011-12-23,development,0.845,0.36,2.21,1.56,1.56,1.56,1.0,0.85,12.4,239.1,0.0
full_eto,001,2011,34,2011-12-24,development,0.857,0.374,2.15,1.55,1.55,1.55,1.0,0.716,10.9,250.0,0.0
full_eto,001,2011,35,2011-12-25,development,0.869,0.388,2.11,1.54,1.54,1.54,1.0,0.63,9.9,259.9,0.0
full_eto,001,2011,36,2011-12-26,development,0.881,0.402,2.14,1.58,1.58,1.58,1.0,0.719,12.3,272.2,0.0
full_eto,001,2011,37,2011-12-27,development,0.893,0.416,2.14,1.6,1.6,1.6,1.0,0.825,14.5,286.7,0.0
full_eto,001,2011,38,2011-12-28,development,0.905,0.43,1.93,1.45,1.45,1.45,1.0,0.817,14.7,301.4,0.0
full_eto,001,2011,39,2011-12-29,development,0.917,0.444,1.59,1.22,1.22,1.23,1.0,0.844,15.4,316.8,0.0
full_eto,001,2011,40,2011-12-30,development,0.929,0.459,1.45,1.11,1.11,1.19,1.0,1.0,8.6,325.4,0.0
full_eto,001,2011,41,2011-12-31,development,0.941,0.473,2.48,1.96,1.96,1.96,1.0,0.817,13.0,338.3,0.0
full_eto,001,2011,42,2012-01-01,development,0.953,0.487,2.17,1.74,1.74,1.74,1.0,0.629,13.1,351.4,0.0
full_eto,001,2011,43,2012-01-02,development,0.966,0.501,2.22,1.8,1.8,1.8,1.0,0.611,12.4,363.8,0.0
full_eto,001,2011,44,2012-01-03,development,0.978,0.515,2.15,1.76,1.76,1.76,1.0,0.684,15.0,378.8,0.0
full_eto,001,2011,45,2012-01-04,development,0.99,0.529,1.98,1.64,1.64,1.64,1.0,0.74,17.0,395.8,0.0
full_eto,001,2011,46,2012-01-05,development,1.002,0.543,2.1,1.76,1.76,1.76,1.0,0.665,15.8,411.6,0.0
full_eto,001,2011,47,2012-01-06,development,1.014,0.558,1.88,1.6,1.6,1.6,1.0,0.56,13.8,425.4,0.0
